data,data_more_info,nome,genero,endereco-arrumado,lat,long,tombado,link,iphan,fonte,tipo,materia,condeph,conpres,autor,endereco-original
2004,2004,Memorial Carlos Marighella,homem,Alameda Casa Branca,-23.5662,-46.66015,N,não consta,não consta,DPH/SMC,Marco,granito e madeira - tronco de árvore: tipuana,não consta,não consta,"FERRAZ, Marcelo",Alameda Casa Branca (altura do nº 815)
1957,ca. 1957,Homenagem ŕs Artes,não figurativo,Avenida Adolfo Pinheiro,-23.63809,-46.69577,N,não consta,não consta,DPH/SMC,Painel,alvenaria  concreto mosaico de pedras e pintura mural,não consta,não consta,"GUERRA, Julio",Avenida Adolfo Pinheiro nş 765
1994,1994,Instrumento Para Olhar,não figurativo,Avenida Bagiru,-23.54103,-46.72132,N,não consta,não consta,DPH/SMC,Escultura Abstrata,ferro,não consta,não consta,"GRINSPUN, Esther",Avenida Bajiru (cruzamento com avenida Professor Fonseca Rodrigues)
1972,1972,Homenagem ao Imortal Prefeito de Săo Paulo José Vicente de Faria Lima,homem,Avenida Brigadeiro Faria Lima,-23.57304,-46.68957,N,não consta,não consta,DPH/SMC,Estátua,bronze e granito,não consta,não consta,"MORRONE, Luiz",Avenida Brigadeiro Faria Lima (canteiro central em frente ao Esporte Clube Pinheiros)
2009,2009,Testemunho,não figurativo,Avenida Brigadeiro Faria Lima,-23.57304,-46.68957,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço inox e granito,não consta,não consta,"MORENO, Dolly",Avenida Brigadeiro Faria Lima (próximo ao cruzamento com a Avenida Cidade Jardim)
1900,19--,Biquinha da Vila Indiana,não figurativo,Avenida Corifeu de Azevedo Marques,-23.55508,-46.75293,N,não consta,não consta,DPH/SMC,Fonte,concreto e azulejos,não consta,não consta,desconhecido,Avenida Corifeu de Azevedo Marques (cruzamento com rua Boturoca em frente ao nº 35)
1986,1986,Carlos Botelho,homem,Avenida da Aclimação,-23.56995,-46.63261,N,não consta,não consta,DPH/SMC,Cabeça,bronze e granito,não consta,não consta,"CARLI, Arlindo Castellane de",Parque da Aclimaçăo
2001,2001,Dança branca,não figurativo,Avenida da Aclimação,-23.56995,-46.63261,N,não consta,não consta,DPH/SMC,Escultura Abstrata,mármore e granito,não consta,não consta,"IANELLI, Arcângelo",Parque da Aclimaçăo
2002,2002,Forma rompida,não figurativo,Avenida da Aclimação,-23.56995,-46.63261,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado e concreto,não consta,não consta,"IANELLI, Arcângelo",Parque da Aclimaçăo
2002,2002,Retorno,não figurativo,Avenida da Aclimação,-23.56995,-46.63261,N,não consta,não consta,DPH/SMC,Escultura Abstrata,aço pintado e concreto,não consta,não consta,"IANELLI, Arcângelo",Parque da Aclimaçăo
1992,1992,Tiradentes,homem,Avenida dos Metalúrgicos,-23.5953,-46.40545,N,não consta,não consta,DPH/SMC,Máscara estela,alvenaria argamassa bronze e aço,não consta,não consta,desconhecido,Avenida dos Metalúrgicos (confluência com a Avenida Naylor de Oliveira)
